accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,model,regime,pooling,split,dim
0.8428571428571429,0.6904138969053489,0.8477049243244911,0.8428571428571429,0.8356241788517847,0.7511415761235689,0.6904138969053489,0.6822030761156921,0.7879165041814338,0.786809245034009,0.9351290276915871,True,1.2587843991350383,0.009126964025199413,DT,raw,Murmur2Vec,m2v_full,-,4,27235
0.8571428571428571,0.6825025618051981,0.8507518805635428,0.8571428571428571,0.840826992120572,0.7376576173129628,0.6825025618051981,0.6757347041321258,0.8076366964384672,0.8055164787739759,0.9801191357174587,True,216.9385980651714,0.03907505911774933,LR,raw,Murmur2Vec,m2v_trunc,-,0,23665
0.8580952380952381,0.6894532071966415,0.8489717051523908,0.8580952380952381,0.8423871539782246,0.7338236134156392,0.6894532071966415,0.6862224338466586,0.8088615788901214,0.806821145953755,0.9846273968619066,True,296.8639731789008,0.03930065291933715,LR,raw,Murmur2Vec,m2v_trunc,-,1,23665
0.8495238095238096,0.6595640658540621,0.8371839099304567,0.8495238095238096,0.8330169173133667,0.7037517198454655,0.6595640658540621,0.6597245641897221,0.7969271626821427,0.7950257607769005,0.9814499679808916,True,245.4515556169208,0.03790686489082873,LR,raw,Murmur2Vec,m2v_trunc,-,2,23665
0.8480952380952381,0.6513715236763513,0.842061556968466,0.8480952380952381,0.8322209373128041,0.7272084749965514,0.6513715236763513,0.6464417103405086,0.7954476600312267,0.7933931451799444,0.9850183291308771,True,266.60527637414634,0.039158895844593644,LR,raw,Murmur2Vec,m2v_trunc,-,3,23665
0.849047619047619,0.6828970129579077,0.8433105662377418,0.849047619047619,0.836284323227122,0.7409013782988303,0.6828970129579077,0.6823045228614093,0.7962466833322943,0.7947316618317447,0.9863102346129359,True,253.61450238595717,0.03737390995956957,LR,raw,Murmur2Vec,m2v_trunc,-,4,23665
0.8538095238095238,0.665436702501971,0.8303756830582888,0.8538095238095238,0.8321560454762751,0.6809810758684316,0.665436702501971,0.6510945418441486,0.8029327442168025,0.800635541855713,0.9774580177933324,True,1.4089438379742205,0.10417385399341583,RF,raw,Murmur2Vec,m2v_trunc,-,0,23665
0.8571428571428571,0.6787973986674424,0.8442532307676602,0.8571428571428571,0.8401678055090321,0.7175530128631914,0.6787973986674424,0.6762091759633523,0.8075868545826635,0.8052464142928111,0.9796959336111487,True,1.3461515260860324,0.08948654099367559,RF,raw,Murmur2Vec,m2v_trunc,-,1,23665
0.8509523809523809,0.6744342717826254,0.8365530970308562,0.8509523809523809,0.8320460570598577,0.7135581550186519,0.6744342717826254,0.6696110476370362,0.7987953579014757,0.796595882157439,0.9796744804245056,True,1.3365297431591898,0.09183176909573376,RF,raw,Murmur2Vec,m2v_trunc,-,2,23665
0.8471428571428572,0.6478100025369913,0.8374725906668785,0.8471428571428572,0.82754818613723,0.6896569893143769,0.6478100025369913,0.6332693312090044,0.7944799963402016,0.7919897059436142,0.981532376254951,True,1.4038321608677506,0.08959898189641535,RF,raw,Murmur2Vec,m2v_trunc,-,3,23665
0.8480952380952381,0.6690019974212326,0.8404724113518486,0.8480952380952381,0.8314496082487659,0.7068303677788385,0.6690019974212326,0.6633902881069798,0.79558628063576,0.7932110626988133,0.9844220521166012,True,1.4741724990308285,0.08910303981974721,RF,raw,Murmur2Vec,m2v_trunc,-,4,23665
0.8504761904761905,0.6854508644121433,0.8423602494480129,0.8504761904761905,0.8373362799449834,0.7137068609383918,0.6854508644121433,0.6812481615771399,0.7984549769281504,0.7965912845195603,0.9336631163200235,True,0.9894965689163655,0.007773981196805835,DT,raw,Murmur2Vec,m2v_trunc,-,0,23665
0.8471428571428572,0.6769082979301642,0.8431028001246546,0.8471428571428572,0.8346171721735139,0.7087789642885459,0.6769082979301642,0.669027421363804,0.7944430652803535,0.7923351619915122,0.9317238886262768,True,1.0510166701860726,0.00765180098824203,DT,raw,Murmur2Vec,m2v_trunc,-,1,23665
0.8395238095238096,0.6729662339179286,0.8300625511422108,0.8395238095238096,0.826484967425846,0.6768380636875444,0.6729662339179286,0.6604357320715025,0.7837786343155618,0.7818076207318833,0.929087882340288,True,0.9705675940494984,0.00798377487808466,DT,raw,Murmur2Vec,m2v_trunc,-,2,23665
0.839047619047619,0.647877109465303,0.8340773685175779,0.839047619047619,0.8271028824202623,0.6774821473518153,0.647877109465303,0.6382314557371948,0.7833528625298634,0.7814647098449871,0.9348610626927752,True,1.0815947579685599,0.007871614070609212,DT,raw,Murmur2Vec,m2v_trunc,-,3,23665
