accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,variant,m,split,dim,arm,n_collapsed
0.49049429657794674,0.44110071282233887,0.4816696502683083,0.49049429657794674,0.4816340992644178,0.5055167916542626,0.44110071282233887,0.46341334297939957,0.3644025406311019,0.36316671853510163,0.7313009623736668,True,1.0193448690115474,0.00185179099207744,DT,dedup,Murmur2Vec,2000,2,2000,collapse_discriminative,200.0
0.788339670468948,0.6326856222998526,0.7842301095454265,0.788339670468948,0.7808458354799899,0.7050847304567369,0.6326856222998526,0.6452316313265902,0.7414635554075464,0.7408076953340152,0.959878800746936,True,65.5554003160214,0.009759745036717504,LR,dedup,Murmur2Vec,2000,2,2000,collapse_control,200.0
0.7934093789607097,0.6530258182541319,0.788695637889583,0.7934093789607097,0.7830131590363869,0.7008049138296095,0.6530258182541319,0.6522355389909524,0.7474137071368337,0.7466895145803173,0.9481310184069891,True,0.2241947979782708,0.04831373697379604,RF,dedup,Murmur2Vec,2000,2,2000,collapse_control,200.0
0.779467680608365,0.6878966181211416,0.777787935079497,0.779467680608365,0.7757723714916839,0.6458384576836514,0.6878966181211416,0.6600564639492268,0.7310540047879367,0.730637999807719,0.8385660704096025,True,0.3347323479829356,0.0016501129721291363,DT,dedup,Murmur2Vec,2000,2,2000,collapse_control,200.0
0.5779467680608364,0.4770077693184093,0.5488028812520792,0.5779467680608364,0.5466965808153125,0.5421991688078371,0.4770077693184093,0.4978181192011164,0.46055928292714393,0.45018687247052525,0.8547902159575781,True,65.92789912997978,0.009120667004026473,LR,dedup,Murmur2Vec,2000,3,2000,collapse_discriminative,200.0
0.5804816223067174,0.47704776966918144,0.5569788379112101,0.5804816223067174,0.5394938328449715,0.5664685337884537,0.47704776966918144,0.49258430224339284,0.4627285867235359,0.45159319129635,0.8477812361817884,True,0.4632271900190972,0.04826508602127433,RF,dedup,Murmur2Vec,2000,3,2000,collapse_discriminative,200.0
0.5031685678073511,0.4450261681822207,0.49317457708861795,0.5031685678073511,0.493332252934895,0.45510105191334066,0.4450261681822207,0.43640378727937834,0.38230943523181615,0.3814116282325646,0.732745158029514,True,0.8824457520386204,0.0018410010379739106,DT,dedup,Murmur2Vec,2000,3,2000,collapse_discriminative,200.0
0.7896070975918885,0.6485698300814288,0.7817879734706239,0.7896070975918885,0.7841187042010951,0.6590058151532779,0.6485698300814288,0.6499187484501706,0.742533563250132,0.7422831945124939,0.9741478993608866,True,67.51555201900192,0.009320832032244653,LR,dedup,Murmur2Vec,2000,3,2000,collapse_control,200.0
0.7984790874524715,0.6516294105870071,0.7975979750739517,0.7984790874524715,0.7918626162721364,0.6721707454025696,0.6516294105870071,0.6510817729558972,0.7538413584035074,0.7529597334467603,0.948819691147213,True,0.20388789102435112,0.04884111601859331,RF,dedup,Murmur2Vec,2000,3,2000,collapse_control,200.0
0.7629911280101395,0.6329605176414024,0.7604628066231552,0.7629911280101395,0.7587386096805389,0.609247218122948,0.6329605176414024,0.6154985685178394,0.7111614406117566,0.710738568190908,0.8107303377464246,True,0.33434428001055494,0.0015470099751837552,DT,dedup,Murmur2Vec,2000,3,2000,collapse_control,200.0
0.5906210392902408,0.4981549108361817,0.5534351362390866,0.5906210392902408,0.5583365625523035,0.5862082849152777,0.4981549108361817,0.5192003473435304,0.47846357081652346,0.47079747823775664,0.87141159798156,True,69.26636638498167,0.009479690983425826,LR,dedup,Murmur2Vec,2000,4,2000,collapse_discriminative,200.0
0.5703422053231939,0.46020179127317645,0.5353969569942086,0.5703422053231939,0.5373359338586979,0.5418571165568357,0.46020179127317645,0.4752316033370531,0.45312610024092104,0.4467647223078307,0.832843880178523,True,0.45332005800446495,0.04850954399444163,RF,dedup,Murmur2Vec,2000,4,2000,collapse_discriminative,200.0
0.5095057034220533,0.45431487591763986,0.5013936709124842,0.5095057034220533,0.5013495696765112,0.4986199819529818,0.45431487591763986,0.46246995252516176,0.3923237281227866,0.39185361928586226,0.7282468138240724,True,0.9390705389669165,0.0017988929757848382,DT,dedup,Murmur2Vec,2000,4,2000,collapse_discriminative,200.0
0.8073510773130546,0.6881592137865294,0.7968777328077786,0.8073510773130546,0.7969143402225256,0.7142483912338838,0.6881592137865294,0.68582870322373,0.7644278543731178,0.7637961834120823,0.9686300061874725,True,65.98933402396506,0.00906851899344474,LR,dedup,Murmur2Vec,2000,4,2000,collapse_control,200.0
0.7946768060836502,0.643352673016642,0.7839480747067108,0.7946768060836502,0.7792754444033988,0.640008468430891,0.643352673016642,0.6245284486074127,0.7491241852569569,0.7481508045034856,0.9592907890140537,True,0.20955492497887462,0.04838189500151202,RF,dedup,Murmur2Vec,2000,4,2000,collapse_control,200.0
0.7756653992395437,0.6616159319143301,0.7791141584090218,0.7756653992395437,0.7751723435663007,0.6522550395570662,0.6616159319143301,0.6438868308208826,0.725776371682114,0.7255878659977952,0.8253324331912979,True,0.33354377903742716,0.001562178018502891,DT,dedup,Murmur2Vec,2000,4,2000,collapse_control,200.0
