accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,train_time,test_time,classifier,corpus,embedding,protocol,jaccard,n_clusters,split,m,k
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,3.2656146149965934,0.015593688993249089,LR,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,9,65999,3
0.9996982043156782,0.9998065277737906,0.9996992726189856,0.9996982043156782,0.999698398840883,0.999646017699115,0.9998065277737906,0.9997259088126293,0.9996510723141965,0.9996509929295918,1.0,True,0.1601910070166923,0.13143912103259936,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,0,65999,3
0.9997794441993825,0.9998373983739837,0.9997800551572789,0.9997794441993825,0.9997795074209199,0.9997229916897507,0.9998373983739837,0.9997799367797867,0.9997364988521535,0.9997364406289501,1.0,True,0.18071367195807397,0.09262221504468471,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,1,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.1749739510123618,0.08964876702520996,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,2,65999,3
0.999803497740224,0.9954545454545455,0.9998038530788493,0.999803497740224,0.9998013017452763,0.9998191681735985,0.9954545454545455,0.9975839208670946,0.9997714943997462,0.9997714492149736,1.0,True,0.1839143320103176,0.09033273597015068,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,3,65999,3
0.9995438996579248,0.997091332169866,0.9995454457607791,0.9995438996579248,0.9995426061801426,0.9996610169491525,0.997091332169866,0.9983562821241063,0.9994723549118392,0.9994721741909429,1.0,True,0.18159196199849248,0.07927953399484977,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,4,65999,3
0.9996014348345954,0.9979166666666666,0.999602628143474,0.9996014348345954,0.9995996358976854,0.9997005988023953,0.9979166666666666,0.9987974433835713,0.9995111098054118,0.9995109134145203,1.0,True,0.1983272489742376,0.05972580803791061,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,5,65999,3
0.9991792065663475,0.9976850393700788,0.9991838091463493,0.9991792065663475,0.9991785470971097,0.9994392523364486,0.9976850393700788,0.9985510081464423,0.9990456501677265,0.9990450408050189,1.0,True,0.1840468579903245,0.07919111999217421,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,6,65999,3
0.9998588168855005,0.9998415213946117,0.9998591629225457,0.9998588168855005,0.9998588475202919,0.9997549019607843,0.9998415213946117,0.9997979984723392,0.9998380850061189,0.9998380621339337,1.0,True,0.1665104740532115,0.13220188504783437,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,7,65999,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,0.1779883750132285,0.09042800299357623,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,8,65999,3
0.9992341077355119,0.9967044237219677,0.9992403345018899,0.9992341077355119,0.9992335440225044,0.9991869918699188,0.9967044237219677,0.9979257341687887,0.9991016808009572,0.9991012222872091,1.0,True,0.18124797398922965,0.06885836500441656,RF,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,9,65999,3
0.9969820431567828,0.9978520540953146,0.9970223230252334,0.9969820431567828,0.9969892752347134,0.993846431606482,0.9978520540953146,0.9958073351048455,0.9965128190168768,0.9965107637436393,0.9987610215945285,True,0.25020740600302815,0.012617454980500042,DT,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,0,65999,3
0.9964711071901191,0.9970927471184956,0.9967535230359174,0.9964711071901191,0.9965445407637165,0.9820505727004318,0.9970927471184956,0.9889243921796196,0.9957895139981605,0.9957853659987609,0.9983597562305242,True,0.30746623495360836,0.008553362975362688,DT,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,1,65999,3
0.9967320261437909,0.9933581017120469,0.9967365226875474,0.9967320261437909,0.9967307863503669,0.9930395562530581,0.9933581017120469,0.9931958777971875,0.9962383662130668,0.9962373854042031,0.9964929873244444,True,0.35510586301097646,0.006901398010086268,DT,flu_prottype,Murmur2Vec,jaccard_group,0.9,1853,2,65999,3
