name,n,mean_diff,ci_low,ci_high,t,df,p,cohens_d,p_corrected,correction,note,metric,method_a,method_b,mean_a,sd_a,mean_b,sd_b,p_naive,t_naive,tost_margin,p_tost,equivalent,ci90_low,ci90_high,significant_holm,verdict
Murmur2Vec | LR vs Spike2Vec | MLP,5,-0.0030298322806003863,-0.02205242808442372,0.015992763523222948,-0.44221951051246505,4,0.6811886865156825,-0.3506026689049036,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Spike2Vec | MLP,0.6594836055476687,0.015517734166217628,0.6625134378282691,0.015153228205851799,0.4768793411271018,-0.7839714007642163,0.02,0.03421973851223387,True,-0.01763601327659832,0.011576348715397547,False,equivalent (TOST)
Murmur2Vec | LR vs Spike2Vec | NB,5,0.3162648409240475,0.27495177055364867,0.3575779112944463,21.254580249230106,4,2.8970713308246188e-05,16.85116188835245,0.001854125651727756,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Spike2Vec | NB,0.6594836055476687,0.015517734166217628,0.3432187646236212,0.02807792662281974,2.962479607248552e-06,37.6803434822098,0.02,0.9999812273351903,False,0.2845432930578429,0.34798638879025207,True,different
Murmur2Vec | LR vs Spike2Vec | RF,5,-0.005602540188618432,-0.047656742559839975,0.036451662182603116,-0.3698832555675403,4,0.7302206693010296,-0.2932526799528416,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | LR,Spike2Vec | RF,0.6594836055476687,0.015517734166217628,0.6650861457362871,0.01951947508872241,0.5477969213721836,-0.6557329269585437,0.02,0.1978342772409087,False,-0.0378931538257399,0.026688073448503036,False,inconclusive
Murmur2Vec | MLP vs Murmur2Vec | NB,5,0.3239065244312347,0.2933054466030137,0.35450760225945566,29.388137546886387,4,7.98211656395246e-06,23.29964918585912,0.0005188375766569099,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Murmur2Vec | NB,0.6639850222328146,0.020130355672150775,0.34007849780157995,0.03224070538825186,8.123586517751234e-07,52.09959943147862,0.02,0.9999948553817265,False,0.3004100002953552,0.3474030485671142,True,different
Murmur2Vec | MLP vs Murmur2Vec | RF,5,0.010967395528155866,-0.04837691603021289,0.07031170708652462,0.5131135711460193,4,0.6349107198657531,0.40680925019939757,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Murmur2Vec | RF,0.6639850222328146,0.020130355672150775,0.6530176267046587,0.02411197483604365,0.414460320974698,0.9096531373215728,0.02,0.34715961534680795,False,-0.03459913832681939,0.05653392938313112,False,inconclusive
Murmur2Vec | MLP vs Spike2Vec | DT,5,0.016964585757849517,-0.04034531002564854,0.07427448154134758,0.8218692504175172,4,0.4573163493254199,0.6515984614820198,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Spike2Vec | DT,0.6639850222328146,0.020130355672150775,0.6470204364749651,0.023645536593566222,0.21883952215707309,1.4570184539080748,0.02,0.4451017124075385,False,-0.02703985608111905,0.06096902759681808,False,inconclusive
Murmur2Vec | MLP vs Spike2Vec | KNN,5,0.1389564956909712,0.10531005400787857,0.17260293737406385,11.466445276158382,4,0.00033016412900816323,9.090884099650857,0.015847878192391834,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Spike2Vec | KNN,0.6639850222328146,0.020130355672150775,0.5250285265418434,0.01173429431404796,3.457899738808034e-05,20.32783482239129,0.02,0.9996980724928465,False,0.11312164001918297,0.16479135136275946,True,different
Murmur2Vec | MLP vs Spike2Vec | LR,5,0.0041875052535568225,-0.03493718321980209,0.043312193726915735,0.2971621990586489,4,0.7811356637308364,0.23559761071345994,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Spike2Vec | LR,0.6639850222328146,0.020130355672150775,0.6597975169792578,0.015156208898963979,0.6261864950071178,0.5268122728918292,0.02,0.16230775772198003,False,-0.025853730293226792,0.03422874080034044,False,inconclusive
Murmur2Vec | MLP vs Spike2Vec | MLP,5,0.0014715844045454674,-0.035699079662157816,0.038642248471248745,0.10991929844335582,4,0.9177673815059768,0.08714676417993295,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Spike2Vec | MLP,0.6639850222328146,0.020130355672150775,0.6625134378282691,0.015153228205851799,0.8549952137648704,0.19486608872547379,0.02,0.11928932038431143,False,-0.027069286289378623,0.03001245509846956,False,inconclusive
Murmur2Vec | MLP vs Spike2Vec | NB,5,0.32076625760919336,0.30031230601248204,0.3412202092059047,43.54121508700819,4,1.6635023851557648e-06,34.52056242199026,0.00010979115742028047,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Spike2Vec | NB,0.6639850222328146,0.020130355672150775,0.3432187646236212,0.02807792662281974,1.6881616257967015e-07,77.19032419709501,0.02,0.9999989244705993,False,0.3050610340852356,0.3364714811331511,True,different
Murmur2Vec | MLP vs Spike2Vec | RF,5,-0.0011011235034725786,-0.050303491504520556,0.0481012444975754,-0.062135402941776614,4,0.9534358931074374,-0.04926249879753874,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | MLP,Spike2Vec | RF,0.6639850222328146,0.020130355672150775,0.6650861457362871,0.01951947508872241,0.9175924600349338,-0.11015429605279829,0.02,0.17315631298490233,False,-0.03888033617593872,0.036678089168993566,False,inconclusive
Murmur2Vec | NB vs Murmur2Vec | RF,5,-0.31293912890307884,-0.39889456563586245,-0.22698369217029524,-10.108241499242267,4,0.0005390523114562354,-8.014066234804327,0.022111464399296683,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | NB,Murmur2Vec | RF,0.34007849780157995,0.03224070538825186,0.6530176267046587,0.02411197483604365,5.699501104519493e-05,-17.919996877208266,0.02,0.9996520763908375,False,-0.37893856869860604,-0.24693968910755165,True,different
Murmur2Vec | NB vs Spike2Vec | DT,5,-0.3069419386733851,-0.37889226169400736,-0.23499161565276283,-11.844386618881266,4,0.0002908973385279146,-9.390525432288104,0.014544866926395731,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | NB,Spike2Vec | DT,0.34007849780157995,0.03224070538825186,0.6470204364749651,0.023645536593566222,3.040278759798972e-05,-20.9978532110368,0.02,0.9998108240081875,False,-0.36218778690554393,-0.25169609044122626,True,different
Murmur2Vec | NB vs Spike2Vec | KNN,5,-0.18495002874026348,-0.24620880023432923,-0.12369125724619771,-8.38253183141031,4,0.0011079747593535137,-6.645880524056893,0.04099506609608001,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | NB,Spike2Vec | KNN,0.34007849780157995,0.03224070538825186,0.5250285265418434,0.01173429431404796,0.00011939966762299,-14.86064062213314,0.02,0.9991442953916339,False,-0.23198654853294956,-0.1379135089475774,True,different
Murmur2Vec | NB vs Spike2Vec | LR,5,-0.31971901917767787,-0.37931719950598214,-0.2601208388493736,-14.894453168613408,4,0.00011833506056724963,-11.808694344452185,0.006745098452333229,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | NB,Spike2Vec | LR,0.34007849780157995,0.03224070538825186,0.6597975169792578,0.015156208898963979,1.222538363580919e-05,-26.4050432797124,0.02,0.9999236985365217,False,-0.3654804819078261,-0.2739575564475296,True,different
Murmur2Vec | NB vs Spike2Vec | MLP,5,-0.32243494002668927,-0.3768901556060037,-0.26797972444737483,-16.439617426138888,4,8.01579695553577e-05,-13.033739146200311,0.004649162234210746,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),f1_macro,Murmur2Vec | NB,Spike2Vec | MLP,0.34007849780157995,0.03224070538825186,0.6625134378282691,0.015153228205851799,8.251523482562338e-06,-29.14432673190397,0.02,0.9999483922003075,False,-0.3642474635713303,-0.2806224164820482,True,different
