accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,kappa,roc_auc_ovr_macro,roc_auc_available,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro,train_time,test_time,classifier,corpus,embedding,split,m,k,dim,shard
0.779467680608365,0.6616902633051183,0.7642890375335315,0.779467680608365,0.7707145764314238,0.6592396679608723,0.6616902633051183,0.6581267636452869,0.7294271364332399,0.7292061162658587,0.9789288893127516,True,0.9793405777211996,0.9652440137275434,0.8799879855252691,0.8253900400855259,79.1915820359718,0.0121037170174531,LR,dedup,Spike2Vec,1,27235,3,3492,0
0.7896070975918885,0.6360341047192777,0.7813646444403934,0.7896070975918885,0.7782455443507069,0.7068254390855777,0.6360341047192777,0.6463727643311891,0.7431465400114233,0.7420431090172845,0.9673689844975132,True,0.97830631066621,0.9453636628797578,0.8866308377171377,0.8128639086195086,74.43210596696008,0.0139480620273388,LR,dedup,Spike2Vec,2,27235,3,3492,0
0.7832699619771863,0.6467128609260456,0.7770278108476124,0.7832699619771863,0.7785649558315826,0.6482178540166509,0.6467128609260456,0.6442545743027254,0.7350019135082346,0.7347831385931529,0.9743663482592072,True,0.9821961259978962,0.957194304184632,0.8836923775584197,0.818069720352042,81.30083027901128,0.0141268880106508,LR,dedup,Spike2Vec,3,27235,3,3492,0
0.7984790874524715,0.6792804758476455,0.7873593074333709,0.7984790874524715,0.7894565757801797,0.6767219974074016,0.6792804758476455,0.671589211206377,0.7535606256041797,0.7530948997626423,0.9720288499222414,True,0.9802591421445784,0.950757847246465,0.8912982478517906,0.8346992491898132,77.86862314300379,0.0120607130229473,LR,dedup,Spike2Vec,4,27235,3,3492,0
0.7908745247148289,0.6828126524482827,0.7881463031541899,0.7908745247148289,0.7822040388271138,0.703744132781177,0.6828126524482827,0.6754948091257432,0.7457763770166624,0.7444597114535283,0.8362823640391529,True,0.887272831930254,0.833854246520529,0.887272831930254,0.8362823640391529,0.5060920479591005,0.0023770210100337,DT,dedup,Spike2Vec,0,27235,3,3492,0
0.779467680608365,0.6484447388548576,0.7760768052631903,0.779467680608365,0.7762847114000568,0.6454944447166047,0.6484447388548576,0.6428263087217673,0.7300916522765757,0.7298163232773296,0.818822823678495,True,0.8812099935234551,0.8158520060668302,0.8812099935234551,0.818822823678495,0.4678393680369481,0.0021915969555266,DT,dedup,Spike2Vec,1,27235,3,3492,0
0.779467680608365,0.6682058437725744,0.7820887839875553,0.779467680608365,0.7786065370938708,0.6763346930756966,0.6682058437725744,0.6673460499909193,0.7307258551477717,0.730224076370289,0.828721849614727,True,0.8816164100256729,0.8262030610237294,0.8816164100256729,0.828721849614727,0.4971542209968902,0.0024058250128291,DT,dedup,Spike2Vec,2,27235,3,3492,0
0.770595690747782,0.6330812275786621,0.7693061361699246,0.770595690747782,0.7664258540616101,0.6316698944577417,0.6330812275786621,0.6249332971209594,0.7200248060595763,0.7195325050767702,0.8109621939239715,True,0.8772747629620904,0.807804452541204,0.8772747629620904,0.8109621939239715,0.4958419359754771,0.0021644060034304,DT,dedup,Spike2Vec,3,27235,3,3492,0
0.7845373891001267,0.6391193889217429,0.7764456610658488,0.7845373891001267,0.7765972610805305,0.6232820734150707,0.6391193889217429,0.6245017174154364,0.7373172383194526,0.7366933251669592,0.814315420744397,True,0.8846259782375633,0.8109672989590082,0.8846259782375633,0.814315420744397,0.4933847349602729,0.0021692460286431,DT,dedup,Spike2Vec,4,27235,3,3492,0
0.339047619047619,0.4584480623192105,0.6844960183328329,0.339047619047619,0.4296499891573714,0.5564165674485381,0.4584480623192105,0.4449172238426792,0.277663692582861,0.2467191268681807,0.740812566847713,True,0.6553143134128055,0.7434246606352329,0.6433728906184196,0.713013708005897,0.3890228060190566,7.396589039999526,NB,raw,Murmur2Vec,0,27235,3,27235,0
0.3609523809523809,0.4563922891118648,0.6992996700757863,0.3609523809523809,0.4517762686608825,0.5705670077776147,0.4563922891118648,0.4429148974561887,0.2958476909608367,0.2654630811923675,0.7412749519806527,True,0.6649942058114312,0.7425033652922539,0.6546057300474561,0.7124964050126349,0.3927989940275438,7.436030326993205,NB,raw,Murmur2Vec,1,27235,3,27235,0
0.6480952380952381,0.4633137028348261,0.7457148642179561,0.6480952380952381,0.6598333307899245,0.6085206946131887,0.4633137028348261,0.4609404918099576,0.5340796286890886,0.5240626082006966,0.7434081061974556,True,0.8181979354380378,0.7394845454078509,0.8074985043752184,0.7229067834344685,0.3919110060087405,7.381032198958563,NB,raw,Murmur2Vec,2,27235,3,27235,0
0.3504761904761905,0.4593045668770014,0.6893209859028775,0.3504761904761905,0.4420308208402851,0.5721408232059425,0.4593045668770014,0.4580698315283507,0.2921311870609221,0.2602312849026388,0.734387986292187,True,0.6620020017503202,0.7361168928492464,0.6524076597008436,0.7138526316067209,0.3907492100261152,7.39206425298471,NB,raw,Murmur2Vec,3,27235,3,27235,0
0.6538095238095238,0.4970312322923135,0.7186930989016257,0.6538095238095238,0.6532800510714226,0.5725344498067142,0.4970312322923135,0.4786558410178346,0.5385871108813477,0.5285170445087692,0.7635698396421415,True,0.815976528031867,0.7585268660533445,0.8024405921340247,0.7395356430613397,0.3925491800182499,7.418628060957417,NB,raw,Murmur2Vec,4,27235,3,27235,0
0.810952380952381,0.5829412956333466,0.8129106742002269,0.810952380952381,0.8002659950995517,0.7071360791186387,0.5829412956333466,0.5979569126853825,0.7425054323798569,0.7411053685933515,0.9017075632370783,True,0.9579899972349938,0.8912937204138436,0.8931446121236803,0.786613584731386,0.0057437100331299,3.891097823041491,KNN,raw,Murmur2Vec,0,27235,3,27235,0
0.8223809523809524,0.6016874048969441,0.8185979598076899,0.8223809523809524,0.8101747809886934,0.6987451025239442,0.6016874048969441,0.6114718680273966,0.7592628347492422,0.7575604133574834,0.91994927608863,True,0.9659982156667786,0.9096225332702864,0.9010860087923578,0.7963476119390336,0.0070475490065291,3.8613282660371615,KNN,raw,Murmur2Vec,1,27235,3,27235,0
0.8,0.5597988443330056,0.8067873380498735,0.8,0.7943247371289978,0.6654714580959208,0.5597988443330056,0.5754493684882533,0.7284085234792631,0.7271721673542011,0.8928683805461136,True,0.9490990749745036,0.8832965173653862,0.8894879032745195,0.7748761450426173,0.0069849930005148,3.813508219027426,KNN,raw,Murmur2Vec,2,27235,3,27235,0
0.8104761904761905,0.5753296277726578,0.8035740931629222,0.8104761904761905,0.7986821577561182,0.629091815509939,0.5753296277726578,0.576843547356718,0.743552581165313,0.7417321374771142,0.8516326887306046,True,0.9405970555901766,0.8436756029726159,0.8962441559223959,0.7829486391555288,0.0077424990013241,3.923374383011833,KNN,raw,Murmur2Vec,3,27235,3,27235,0
0.8023809523809524,0.6004082133748337,0.8090399593266607,0.8023809523809524,0.7954726732922358,0.6926987332858578,0.6004082133748337,0.6093139015867453,0.7318755855185246,0.7307193177604747,0.9222612451606392,True,0.9614046734548196,0.9119465096079294,0.8911608605597161,0.7952568730764948,0.0055217269691638,3.8124359500361606,KNN,raw,Murmur2Vec,4,27235,3,27235,0
0.8504761904761905,0.6571520933949618,0.837390043850306,0.8504761904761905,0.8324889192701614,0.6977977847610795,0.6571520933949618,0.6500476270916259,0.7982670771828512,0.7962439547583711,0.9786642519227432,True,0.988892307713495,0.9682965374901672,0.9191225096535808,0.8248997971362801,1.521397528005764,0.1116151299793273,RF,raw,Murmur2Vec,0,27235,3,27235,0
0.8566666666666667,0.6844377766769604,0.8469637462505685,0.8566666666666667,0.839799201921783,0.7567462212086628,0.6844377766769604,0.6813871438650458,0.8067646847506188,0.8046766968267766,0.9809165963509068,True,0.9902441464732856,0.9708409137172,0.922122430065235,0.8386789987959908,1.4571493630064651,0.1104677109979093,RF,raw,Murmur2Vec,1,27235,3,27235,0
